Abra Juarez|17|0229960469|GRAHAM|GRA, PHY, MAT, ENG, BIO|False
Abraham Chase|13|0279510348|BARKER|ENG, DTC, PHY, ART, MAT|True
Adrian Wells|18|0212566007|GRAHAM|PHY, ART, MAT, BIO, GRA|True
Aileen Oneal|16|0228413199|BAKER|ENG, DTC, MAT, PHY, ART|False
Akeem Oneill|14|0226529112|MORGAN|BIO, MAT, ART, PHY, ENG|True
Alika Potts|16|0217681349|GRAHAM|GRA, BIO, ENG, ART, DTC|False
Allegra Kemp|17|0212573511|MORGAN|GRA, ENG, BIO, ART, DTC|False
Allen Parks|17|0211218151|MORGAN|ENG, MAT, PHY, GRA, BIO|True
Althea Long|14|0218761353|GRAHAM|BIO, DTC, MAT, GRA, PHY|False
Amena Fields|15|0275729036|BARKER|DTC, ENG, PHY, GRA, BIO|False
Amethyst Cotton|15|0225614709|GRAHAM|GRA, DTC, ART, ENG, BIO|False
Amir Eaton|16|0224132609|NIMMO|PHY, BIO, GRA, DTC, ART|True
Andrew Lott|13|0216842741|BAKER|ENG, GRA, BIO, PHY, DTC|True
Anika Gutierrez|13|0226361667|BAKER|GRA, ART, ENG, MAT, BIO|False
Anthony Burris|15|0270002266|MORGAN|GRA, PHY, BIO, ENG, MAT|True
Anthony Head|13|0228422297|BARKER|MAT, PHY, ENG, ART, GRA|True
Aquila Vega|18|0225194036|MORGAN|BIO, GRA, ENG, DTC, MAT|True
Arthur Mitchell|17|0271976514|BAKER|MAT, PHY, ENG, BIO, GRA|True
Baker Fuller|17|0220832447|MCNICOL|BIO, MAT, PHY, DTC, ART|True
Beau Wilkerson|16|0222617327|BARKER|ART, PHY, BIO, ENG, DTC|True
Beck Hopper|18|0229782274|BAKER|ART, BIO, MAT, ENG, GRA|True
Belle Robinson|14|0278441796|BAKER|MAT, GRA, ART, DTC, BIO|False
Benjamin Scott|16|0226522269|BAKER|MAT, GRA, ART, PHY, ENG|True
Bert Walters|18|0211752801|NIMMO|ART, PHY, ENG, MAT, BIO|True
Blossom Johnson|13|0227520261|BELL|MAT, PHY, ENG, ART, BIO|False
Brair Hodge|18|0222360102|GRAHAM|PHY, ENG, MAT, GRA, DTC|False
Branden Montoya|18|0225196816|BARKER|PHY, ART, DTC, ENG, MAT|True
