Samuel,Hall,M,5650 Union Center,La Cañada Flintridge,shall@omba.net,3533512375430885,jcb,$454287.33,1
Thomas,King,M,50892 Oxford Crossing,Woodside,tking@realpoint.net,3541859417220554,jcb,$993972.98,2
Patrick,Harrison,F,8 Bartillon Circle,West Sacramento,pharrison@riffpath.info,4913390261858461,visa-electron,$518860.56,3
Sarah,West,M,9 Artisan Plaza,Healdsburg,swest@jabbercube.net,4844727317106797,visa-electron,$996970.92,4
John,Hunter,M,5057 Schlimgen Pass,Goleta,jhunter@nlounge.org,6761896099081907172,maestro,$972726.43,5
Rachel,Ramos,M,27 Becker Center,Fort Bragg,rramos@topiczoom.edu,5610533345207295,bankcard,$481100.96,6
Donald,Howell,F,5901 Hudson Road,Rancho Cucamonga,dhowell@bluezoom.info,5478180960069609,diners-club-us-ca,$384220.71,7
Tina,Roberts,F,71592 Randy Circle,Seaside,troberts@tagcat.net,3543792546394578,jcb,$678701.47,8
Lawrence,Pierce,M,9 Del Sol Drive,Porterville,lpierce@livetube.info,3.02759E+13,diners-club-carte-blanche,$574363.62,9
Alan,Rose,M,094 Oriole Park,Placerville,arose@mybuzz.gov,3539363095137176,jcb,$275986.89,10
Patrick,Vasquez,M,8 Drewry Trail,Agoura Hills,pvasquez@browsedrive.com,3538872982852292,jcb,$808963.16,11
Gloria,Foster,F,67 Dwight Circle,Trinidad,gfoster@youbridge.gov,5020651419934930584,maestro,$944043.64,12
Susan,Perez,M,8 Nelson Plaza,Monrovia,sperez@skidoo.mil,3575367332816737,jcb,$770306.35,13
Debra,Patterson,F,7 Blue Bill Park Street,Colton,dpatterson@minyx.edu,3.05927E+13,diners-club-carte-blanche,$108452.56,14
Robert,Fisher,M,492 Hooker Drive,Parlier,rfisher@skalith.net,3.56781E+15,jcb,$173512.18,15
Diana,Bradley,F,87 Eastwood Pass,Palmdale,dbradley@dynabox.info,3.02523E+13,diners-club-carte-blanche,$475466.93,16
Jennifer,Nelson,M,85 Menomonie Trail,Rolling Hills,jnelson@topicblab.com,6767365510942722,solo,$624708.46,17
Christine,Mason,F,15 Mockingbird Center,Redlands,,5602230860274665,bankcard,$634486.53,18
Diana,Wagner,F,1250 Sutherland Crossing,Waterford,dwagner@wikido.gov,4903891214015771421,switch,$23899.29,19
Andrea,Harvey,M,784 Hayes Pass,Rio Vista,aharvey@agimba.name,3566504036502293,jcb,$387217.83,20
Julie,Howell,F,647 Harper Street,Desert Hot Springs,jhowell@oodoo.biz,3544068930509157,jcb,$647973.51,21
Johnny,Rodriguez,M,069 Gina Street,Escalon,jrodriguez@trudoo.info,3.53512E+15,jcb,$689753.43,22
Mark,Turner,M,0062 Lukken Crossing,King City,mturner@dabvine.biz,5326538295743673,mastercard,$609646.30,23
Gregory,Parker,M,2119 Pepper Wood Terrace,Mendota,gparker@abatz.net,3.53579E+15,jcb,$100434.77,24
Barbara,Webb,F,70 Lerdahl Crossing,Coachella,bwebb@yodel.mil,6304504166607144581,maestro,$563433.61,25
William,Fuller,M,8142 Kennedy Point,Salinas,wfuller@flashdog.net,3.53424E+15,jcb,$398036.41,26
